id,X,Y,price
307826,117.821915964056,38.9899182219482,10500
308951,116.501134590796,40.0873728653153,61834
308952,116.379077,39.958459,139042
308954,116.354941,39.879105,71295
308955,116.64256,40.130403,44545
308956,116.427868347098,40.0259070118855,30671
308973,116.446000355077,39.9536019859842,71322
308978,116.268995267757,39.9044195245769,78086
308979,116.263998087277,39.9220995904021,65962
308982,116.300678,40.087329,20047
308987,116.424213314113,40.1178519034166,22946
308988,116.810652738022,39.9622050861686,23930
308990,116.487343456592,39.3207295232986,12000
311056,116.363425,39.896221,94822
311061,116.29996971459,39.6381972174678,31248
311064,115.697756,39.592835,11965
311065,116.142983106956,39.9016005140143,60000
13413,116.411018984262,40.1548283515845,43197
13425,116.406602049472,39.9573746648569,83326
13406,116.229056459159,40.081566265118,40359
13408,116.361088525961,39.946774378185,107850
13409,116.355166632202,39.949378734468,72907
13411,116.443878434556,39.8067354705758,45324
13417,116.424636948485,39.9950868652329,49330
13419,116.443974976918,39.920807061958,77553
13421,116.471370249906,39.9358992915423,57726
13423,116.353982504851,39.8903886367031,73565
13427,116.293904197086,39.8331876012574,38529
13429,116.459235434191,39.8730659220139,47143
13431,116.447486244336,39.9246200585163,50563
13433,116.421397709431,39.9875543266619,69766
13435,116.441501531904,39.9354699840023,92963
13437,116.534198852145,40.0732457440031,35426
13439,116.664100049191,40.1584602764538,28382
13441,116.383127153519,39.974449586448,75165
175475,115.950363,39.606503,15740
175655,116.670734,39.874209,17027
175657,116.580774,39.773221,24242
172328,116.360695840297,39.9258097557512,118107
166590,116.257291988983,39.8913173450944,38959
166591,116.253302905949,39.9096808406002,59501
166696,116.312962,39.827034,30774
169601,116.325128793958,39.9281355820142,59430
172091,116.387660570711,39.8912260989078,110544
169763,116.354788651296,40.0387257443325,55738
175352,116.739996170093,40.1204070347432,19132
174318,116.276999048673,40.1335005306306,24394
175747,116.493428,39.856652,11523
175781,116.720407303261,39.5451719033625,20235
169275,116.329371379874,39.9823057551031,90611
169288,116.369639516154,39.9710459611264,58252
175567,116.109898339832,39.9589894490831,21933
175568,116.088232448126,39.971283005675,15258
175569,116.099118041255,39.950131360886,21066
175845,116.722627811961,39.5486269298146,18876
